Entity,Code,Year,Tuberculosis,HepatitisB,Influenza,Inactivated_polio,Measles,Pneumococcus,Polio,Rubella,Rotavirus,Yellow_fever,Diphteria_Tetanus_Pertussis
Albania,ALB,2000,93.0,96.0,,,95.0,,97.0,,,,97.0
Albania,ALB,2001,93.0,96.0,,,95.0,,97.0,95.0,,,97.0
Albania,ALB,2002,94.0,96.0,,,96.0,,98.0,96.0,,,98.0
Albania,ALB,2003,95.0,97.0,,,93.0,,97.0,93.0,,,97.0
Albania,ALB,2004,97.0,99.0,,,96.0,,98.0,96.0,,,97.0
Albania,ALB,2005,98.0,98.0,,,97.0,,97.0,97.0,,,98.0
Albania,ALB,2006,97.0,98.0,,,95.0,,97.0,95.0,,,97.0
Albania,ALB,2007,98.0,98.0,,,97.0,,99.0,97.0,,,98.0
Albania,ALB,2008,99.0,99.0,,,98.0,,99.0,98.0,,,99.0
Albania,ALB,2009,97.0,98.0,98.0,,97.0,,98.0,97.0,,,98.0
Albania,ALB,2010,99.0,99.0,99.0,,99.0,,99.0,99.0,,,99.0
Albania,ALB,2011,97.0,99.0,99.0,,99.0,99.0,99.0,99.0,,,99.0
Albania,ALB,2012,96.0,99.0,99.0,,98.0,99.0,99.0,98.0,,,99.0
Albania,ALB,2013,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,,,99.0
Albania,ALB,2014,99.0,98.0,98.0,,98.0,99.0,98.0,98.0,,,98.0
Albania,ALB,2015,99.0,99.0,99.0,99.0,97.0,99.0,99.0,97.0,,,99.0
Albania,ALB,2016,99.0,98.0,98.0,98.0,96.0,98.0,98.0,96.0,,,98.0
Albania,ALB,2017,99.0,99.0,99.0,99.0,96.0,99.0,99.0,96.0,,,99.0
Albania,ALB,2018,99.0,99.0,99.0,99.0,94.0,98.0,99.0,94.0,,,99.0
Albania,ALB,2019,99.0,99.0,99.0,99.0,95.0,96.0,99.0,95.0,,,99.0
Algeria,DZA,2000,97.0,,,,80.0,,86.0,,,,86.0
Algeria,DZA,2001,97.0,,,,83.0,,89.0,,,,89.0
Algeria,DZA,2002,98.0,,,,81.0,,86.0,,,,86.0
Algeria,DZA,2003,98.0,,,,84.0,,87.0,,,,87.0
Algeria,DZA,2004,98.0,81.0,,,81.0,,86.0,,,,86.0
Algeria,DZA,2005,98.0,83.0,,,83.0,,88.0,,,,88.0
Algeria,DZA,2006,99.0,80.0,,,91.0,,95.0,,,,95.0
Algeria,DZA,2007,99.0,90.0,,,92.0,,95.0,,,,95.0
Algeria,DZA,2008,99.0,91.0,93.0,,88.0,,92.0,,,,93.0
Algeria,DZA,2009,99.0,94.0,95.0,,92.0,,94.0,,,,95.0
Algeria,DZA,2010,99.0,95.0,95.0,,95.0,,95.0,,,,95.0
Algeria,DZA,2011,99.0,95.0,95.0,,95.0,,95.0,,,,95.0
Algeria,DZA,2012,99.0,95.0,95.0,,95.0,,95.0,,,,95.0
Algeria,DZA,2013,99.0,95.0,95.0,,95.0,,95.0,,,,95.0
Algeria,DZA,2014,99.0,95.0,95.0,,95.0,,95.0,,,,95.0
Algeria,DZA,2015,99.0,95.0,95.0,8.0,95.0,,95.0,,,,95.0
Algeria,DZA,2016,99.0,91.0,91.0,94.0,94.0,61.0,91.0,,,,91.0
Algeria,DZA,2017,99.0,91.0,91.0,92.0,88.0,89.0,91.0,88.0,,,91.0
Algeria,DZA,2018,99.0,91.0,91.0,94.0,80.0,91.0,91.0,80.0,,,91.0
Algeria,DZA,2019,99.0,91.0,91.0,94.0,80.0,91.0,91.0,80.0,,,91.0
Angola,AGO,2000,53.0,,,,32.0,,21.0,,,29.0,31.0
Angola,AGO,2001,70.0,,,,60.0,,28.0,,,25.0,42.0
Angola,AGO,2002,76.0,,,,59.0,,22.0,,,25.0,47.0
Angola,AGO,2003,54.0,,,,44.0,,21.0,,,31.0,46.0
Angola,AGO,2004,63.0,,,,43.0,,18.0,,,39.0,47.0
Angola,AGO,2005,51.0,,,,21.0,,14.0,,,23.0,47.0
Angola,AGO,2006,54.0,,,,21.0,,8.0,,,22.0,44.0
Angola,AGO,2007,75.0,43.0,43.0,,58.0,,43.0,,,51.0,48.0
Angola,AGO,2008,73.0,45.0,45.0,,48.0,,36.0,,,39.0,49.0
Angola,AGO,2009,70.0,47.0,47.0,,46.0,,36.0,,,17.0,50.0
Angola,AGO,2010,79.0,49.0,49.0,,62.0,,56.0,,,16.0,51.0
Angola,AGO,2011,74.0,50.0,50.0,,57.0,,50.0,,,38.0,52.0
Angola,AGO,2012,73.0,52.0,52.0,,65.0,,54.0,,,36.0,53.0
Angola,AGO,2013,71.0,54.0,54.0,,59.0,9.0,48.0,,,21.0,54.0
Angola,AGO,2014,72.0,55.0,55.0,,56.0,45.0,55.0,,18.0,48.0,55.0
Angola,AGO,2015,64.0,55.0,55.0,,51.0,55.0,62.0,,40.0,43.0,59.0
Angola,AGO,2016,40.0,55.0,55.0,,45.0,55.0,58.0,,44.0,24.0,59.0
Angola,AGO,2017,69.0,52.0,52.0,,42.0,52.0,52.0,,43.0,28.0,56.0
Angola,AGO,2018,72.0,59.0,59.0,40.0,50.0,59.0,61.0,50.0,48.0,45.0,63.0
Angola,AGO,2019,69.0,53.0,53.0,43.0,51.0,53.0,56.0,51.0,58.0,45.0,57.0
Armenia,ARM,2000,97.0,55.0,,,92.0,,96.0,,,,93.0
Armenia,ARM,2001,96.0,69.0,,,93.0,,97.0,,,,94.0
Armenia,ARM,2002,97.0,91.0,,,91.0,,96.0,91.0,,,94.0
Armenia,ARM,2003,92.0,93.0,,,94.0,,96.0,94.0,,,94.0
Armenia,ARM,2004,96.0,91.0,,,92.0,,93.0,92.0,,,91.0
Armenia,ARM,2005,94.0,91.0,,,94.0,,92.0,94.0,,,90.0
Armenia,ARM,2006,91.0,78.0,,,92.0,,87.0,92.0,,,87.0
Armenia,ARM,2007,94.0,85.0,,,92.0,,90.0,92.0,,,88.0
Armenia,ARM,2008,98.0,89.0,,,94.0,,91.0,94.0,,,89.0
Armenia,ARM,2009,99.0,93.0,,,96.0,,94.0,96.0,,,93.0
Armenia,ARM,2010,95.0,94.0,48.0,,97.0,,96.0,97.0,,,94.0
Armenia,ARM,2011,96.0,95.0,95.0,,97.0,,96.0,97.0,,,95.0
Armenia,ARM,2012,96.0,95.0,95.0,,97.0,,96.0,97.0,,,95.0
Armenia,ARM,2013,99.0,95.0,95.0,,97.0,,96.0,97.0,33.0,,95.0
Armenia,ARM,2014,99.0,93.0,93.0,,97.0,,95.0,97.0,91.0,,93.0
Armenia,ARM,2015,99.0,94.0,94.0,,97.0,44.0,96.0,97.0,93.0,,94.0
Armenia,ARM,2016,99.0,94.0,94.0,34.0,97.0,94.0,96.0,97.0,94.0,,94.0
Armenia,ARM,2017,99.0,94.0,94.0,92.0,96.0,94.0,96.0,96.0,94.0,,94.0
