Entity,Code,Year,GDP_capita
Albania,ALB,2000,5315.43
Albania,ALB,2001,5525.691
Albania,ALB,2002,5636.1846
Albania,ALB,2003,5861.1265
Albania,ALB,2004,6038.8965
Albania,ALB,2005,6531.797
Albania,ALB,2006,7108.6143
Albania,ALB,2007,7666.5283
Albania,ALB,2008,8615.24
Albania,ALB,2009,9320.368
Albania,ALB,2010,10522.667
Albania,ALB,2011,10711.467
Albania,ALB,2012,11106.769
Albania,ALB,2013,10646.325
Albania,ALB,2014,11079.809
Albania,ALB,2015,11644.792
Albania,ALB,2016,11674.589
Albania,ALB,2017,12126.523
Albania,ALB,2018,12267.312
Albania,ALB,2019,12531.788
Algeria,DZA,2000,9704.585
Algeria,DZA,2001,9655.797
Algeria,DZA,2002,9881.31
Algeria,DZA,2003,10634.918
Algeria,DZA,2004,11033.535
Algeria,DZA,2005,12356.633
Algeria,DZA,2006,13424.695
Algeria,DZA,2007,13692.437
Algeria,DZA,2008,14433.803
Algeria,DZA,2009,13045.797
Algeria,DZA,2010,14808.767
Algeria,DZA,2011,15523.892
Algeria,DZA,2012,14968.809
Algeria,DZA,2013,14278.215
Algeria,DZA,2014,13804.14
Algeria,DZA,2015,12512.007
Algeria,DZA,2016,11854.604
Algeria,DZA,2017,11408.486
Algeria,DZA,2018,11773.642
Algeria,DZA,2019,11787.492
Angola,AGO,2000,2228.5913
Angola,AGO,2001,2334.3542
Angola,AGO,2002,2533.5806
Angola,AGO,2003,2682.5945
Angola,AGO,2004,3131.4824
Angola,AGO,2005,4116.556
Angola,AGO,2006,5289.559
Angola,AGO,2007,5809.966
Angola,AGO,2008,6923.387
Angola,AGO,2009,5130.315
Angola,AGO,2010,6834.37
Angola,AGO,2011,8334.11
Angola,AGO,2012,9143.057
Angola,AGO,2013,9320.892
Angola,AGO,2014,9460.202
Angola,AGO,2015,8058.727
Angola,AGO,2016,7581.5454
Angola,AGO,2017,7718.8564
Angola,AGO,2018,7588.662
Angola,AGO,2019,7159.579
Armenia,ARM,2000,3798.6646
Armenia,ARM,2001,4040.34
Armenia,ARM,2002,4396.316
Armenia,ARM,2003,5031.019
Armenia,ARM,2004,5389.253
Armenia,ARM,2005,6023.9185
Armenia,ARM,2006,6901.371
Armenia,ARM,2007,7882.088
Armenia,ARM,2008,8643.752
Armenia,ARM,2009,8038.7026
Armenia,ARM,2010,8880.064
Armenia,ARM,2011,9795.726
Armenia,ARM,2012,11476.973
Armenia,ARM,2013,11309.393
Armenia,ARM,2014,10791.942
Armenia,ARM,2015,11156.541
Armenia,ARM,2016,11325.965
Armenia,ARM,2017,12979.432
Armenia,ARM,2018,13588.856
Armenia,ARM,2019,14735.138
Australia,AUS,2000,39331.9
Australia,AUS,2001,40172.168
Australia,AUS,2002,40712.246
Australia,AUS,2003,41971.69
Australia,AUS,2004,42933.586
Australia,AUS,2005,45488.26
Australia,AUS,2006,45679.094
Australia,AUS,2007,46090.77
Australia,AUS,2008,47621.637
Australia,AUS,2009,46605.594
Australia,AUS,2010,50222.52
Australia,AUS,2011,52136.227
Australia,AUS,2012,51097.926
Australia,AUS,2013,52768.6
Australia,AUS,2014,51919.355
Australia,AUS,2015,48712.19
Australia,AUS,2016,51497.21
Australia,AUS,2017,52536.19
Australia,AUS,2018,54236.766
Australia,AUS,2019,54147.008
Austria,AUT,2000,38036.566
Austria,AUT,2001,37042.785
Austria,AUT,2002,37653.426
Austria,AUT,2003,38394.566
Austria,AUT,2004,39732.598
Austria,AUT,2005,43298.79
Austria,AUT,2006,43980.133
Austria,AUT,2007,45328.258
Austria,AUT,2008,46818.812
Austria,AUT,2009,44564.95
Austria,AUT,2010,45806.348
Austria,AUT,2011,47593.11
Austria,AUT,2012,48182.363
Austria,AUT,2013,47261.83
Austria,AUT,2014,49125.188
Austria,AUT,2015,49618.703
Austria,AUT,2016,49865.79
Austria,AUT,2017,51954.277
Austria,AUT,2018,52968.19
Austria,AUT,2019,53344.508
Azerbaijan,AZE,2000,2816.3289
Azerbaijan,AZE,2001,3176.2764
Azerbaijan,AZE,2002,3260.5984
Azerbaijan,AZE,2003,3405.857
Azerbaijan,AZE,2004,3566.5247
Azerbaijan,AZE,2005,5500.5513
Azerbaijan,AZE,2006,7976.9453
Azerbaijan,AZE,2007,10800.024
Azerbaijan,AZE,2008,11934.759
Azerbaijan,AZE,2009,12098.649
Azerbaijan,AZE,2010,14367.471
Azerbaijan,AZE,2011,18106.38
Azerbaijan,AZE,2012,19267.303
Azerbaijan,AZE,2013,17494.54
Azerbaijan,AZE,2014,18844.375
Azerbaijan,AZE,2015,14581.192
Azerbaijan,AZE,2016,13778.009
Azerbaijan,AZE,2017,14091.36
Azerbaijan,AZE,2018,15542.556
Azerbaijan,AZE,2019,15858.924
Bangladesh,BGD,2000,1520.2449
Bangladesh,BGD,2001,1535.8394
Bangladesh,BGD,2002,1588.2731
Bangladesh,BGD,2003,1606.8379
Bangladesh,BGD,2004,1621.7179
Bangladesh,BGD,2005,1666.4171
Bangladesh,BGD,2006,1793.9163
Bangladesh,BGD,2007,1978.3098
Bangladesh,BGD,2008,2193.2632
Bangladesh,BGD,2009,2353.637
Bangladesh,BGD,2010,2650.6636
Bangladesh,BGD,2011,3030.0151
Bangladesh,BGD,2012,3113.8965
Bangladesh,BGD,2013,3260.8838
Bangladesh,BGD,2014,3453.2925
Bangladesh,BGD,2015,3714.8008
Bangladesh,BGD,2016,3833.7283
Bangladesh,BGD,2017,4112.704
Bangladesh,BGD,2018,4428.1455
Bangladesh,BGD,2019,4658.01
Belarus,BLR,2001,9692.305
Belarus,BLR,2002,9920.514
Belarus,BLR,2003,10457.991
Belarus,BLR,2004,11319.383
Belarus,BLR,2005,12043.056
Belarus,BLR,2006,13609.858
Belarus,BLR,2007,15058.907
Belarus,BLR,2008,17549.406
Belarus,BLR,2009,17012.016
Belarus,BLR,2010,18824.506
Belarus,BLR,2011,21223.59
Belarus,BLR,2012,20276.56
Belarus,BLR,2013,19838.09
Belarus,BLR,2014,20188.39
Belarus,BLR,2015,19728.426
Belarus,BLR,2016,18609.34
Belarus,BLR,2017,20307.428
Belarus,BLR,2018,21174.275
Belarus,BLR,2019,21665.938
Belgium,BEL,2000,33739.33
Belgium,BEL,2001,33801.445
Belgium,BEL,2002,34587.23
Belgium,BEL,2003,35921.406
Belgium,BEL,2004,36637.98
Belgium,BEL,2005,40701.17
Belgium,BEL,2006,39286.82
Belgium,BEL,2007,40197.406
Belgium,BEL,2008,43370.99
Belgium,BEL,2009,41608.61
Belgium,BEL,2010,44733.914
Belgium,BEL,2011,44285.63
Belgium,BEL,2012,44366.01
Belgium,BEL,2013,43980.91
Belgium,BEL,2014,43960.465
Belgium,BEL,2015,42891.355
Belgium,BEL,2016,43413.094
Belgium,BEL,2017,45150.195
Belgium,BEL,2018,44205.297
Belgium,BEL,2019,44839.68
Belize,BLZ,2000,6530.451
Belize,BLZ,2001,6299.567
Belize,BLZ,2002,6895.2183
Belize,BLZ,2003,7420.105
Belize,BLZ,2004,7606.347
Belize,BLZ,2005,7805.492
Belize,BLZ,2006,8127.245
Belize,BLZ,2007,8185.3877
Belize,BLZ,2008,7690.259
Belize,BLZ,2009,7087.6943
Belize,BLZ,2010,7784.203
Belize,BLZ,2011,8055.136
Belize,BLZ,2012,8062.7334
Belize,BLZ,2013,7291.5586
Belize,BLZ,2014,7270.5225
Belize,BLZ,2015,6594.8223
Belize,BLZ,2016,6321.782
Belize,BLZ,2017,6199.1445
Belize,BLZ,2018,5793.2246
Belize,BLZ,2019,5602.4204
Bhutan,BTN,2000,4428.868
Bhutan,BTN,2001,4585.326
Bhutan,BTN,2002,5162.9624
Bhutan,BTN,2003,5553.9844
Bhutan,BTN,2004,6377.2344
Bhutan,BTN,2005,6264.4834
Bhutan,BTN,2006,6182.142
Bhutan,BTN,2007,6538.2363
Bhutan,BTN,2008,7184.4434
Bhutan,BTN,2009,7688.8325
Bhutan,BTN,2010,8901.771
Bhutan,BTN,2011,9147.525
Bhutan,BTN,2012,9464.409
Bhutan,BTN,2013,8591.17
Bhutan,BTN,2014,8779.765
Bhutan,BTN,2015,9778.855
Bhutan,BTN,2016,10569.886
Bhutan,BTN,2017,11190.055
Bhutan,BTN,2018,11457.6455
Bhutan,BTN,2019,11778.3955
"Bolivia, Plurinational State of",BOL,2000,3264.6858
"Bolivia, Plurinational State of",BOL,2001,3341.6895
"Bolivia, Plurinational State of",BOL,2002,3441.554
"Bolivia, Plurinational State of",BOL,2003,3547.0254
"Bolivia, Plurinational State of",BOL,2004,3703.2166
"Bolivia, Plurinational State of",BOL,2005,3896.6584
"Bolivia, Plurinational State of",BOL,2006,4040.7559
"Bolivia, Plurinational State of",BOL,2007,4219.324
"Bolivia, Plurinational State of",BOL,2008,4686.3604
"Bolivia, Plurinational State of",BOL,2009,4799.179
"Bolivia, Plurinational State of",BOL,2010,5248.621
"Bolivia, Plurinational State of",BOL,2011,5819.723
"Bolivia, Plurinational State of",BOL,2012,6424.1636
"Bolivia, Plurinational State of",BOL,2013,7039.8984
"Bolivia, Plurinational State of",BOL,2014,7257.5317
"Bolivia, Plurinational State of",BOL,2015,7336.2764
"Bolivia, Plurinational State of",BOL,2016,7606.1006
"Bolivia, Plurinational State of",BOL,2017,8176.8667
"Bolivia, Plurinational State of",BOL,2018,8489.708
"Bolivia, Plurinational State of",BOL,2019,8584.631
Botswana,BWA,2000,11064.159
Botswana,BWA,2001,10805.393
Botswana,BWA,2002,12533.8545
Botswana,BWA,2003,12158.926
Botswana,BWA,2004,12506.996
Botswana,BWA,2005,14003.922
Botswana,BWA,2006,14303.025
Botswana,BWA,2007,14592.438
Botswana,BWA,2008,14481.412
Botswana,BWA,2009,13197.055
Botswana,BWA,2010,14527.12
Botswana,BWA,2011,15922.705
Botswana,BWA,2012,14734.384
Botswana,BWA,2013,14868.127
Botswana,BWA,2014,16191.077
Botswana,BWA,2015,15194.871
