Entity,Code,Year,homicides_rate_100k
Albania,ALB,2000,4.116881
Albania,ALB,2001,6.9761276
Albania,ALB,2002,6.9152064
Albania,ALB,2003,5.3669734
Albania,ALB,2004,4.27738
Albania,ALB,2005,5.078094
Albania,ALB,2006,3.1630955
Albania,ALB,2007,3.5281267
Albania,ALB,2008,3.1507385
Albania,ALB,2009,2.900488
Albania,ALB,2010,4.0845757
Albania,ALB,2011,4.8954477
Albania,ALB,2012,5.4284067
Albania,ALB,2013,4.2950954
Albania,ALB,2014,4.64616
Albania,ALB,2015,2.22031
Albania,ALB,2016,2.7420435
Albania,ALB,2017,2.01434
Albania,ALB,2018,2.294046
Albania,ALB,2019,2.2617478
Algeria,DZA,2006,0.93315166
Algeria,DZA,2007,0.79743814
Algeria,DZA,2008,0.94881076
Algeria,DZA,2009,0.78702044
Algeria,DZA,2010,0.7083823
Algeria,DZA,2011,0.76620924
Algeria,DZA,2012,1.4036288
Algeria,DZA,2013,1.2631371
Algeria,DZA,2014,1.4886416
Algeria,DZA,2015,1.38077
Algeria,DZA,2016,1.343602
Algeria,DZA,2017,1.2738065
Algeria,DZA,2018,1.3547354
Algeria,DZA,2019,1.2153039
Angola,AGO,2011,4.3488812
Angola,AGO,2012,4.8316097
Angola,AGO,2015,4.4582353
Angola,AGO,2016,4.102248
Armenia,ARM,2000,2.8720002
Armenia,ARM,2001,2.8086898
Armenia,ARM,2002,2.2221954
Armenia,ARM,2004,2.7073355
Armenia,ARM,2005,1.903358
Armenia,ARM,2006,2.6102874
Armenia,ARM,2007,2.5629137
Armenia,ARM,2008,3.2513018
Armenia,ARM,2009,3.2722774
Armenia,ARM,2010,1.9006935
Armenia,ARM,2011,2.4240553
Armenia,ARM,2012,2.2302885
Armenia,ARM,2013,2.1713772
Armenia,ARM,2014,2.4914103
Armenia,ARM,2015,2.6054382
Armenia,ARM,2016,3.0357645
Armenia,ARM,2017,2.4544842
Armenia,ARM,2018,1.7627003
Armenia,ARM,2019,2.5881004
Australia,AUS,2000,1.9034636
Australia,AUS,2001,1.8027713
Australia,AUS,2002,1.879251
Australia,AUS,2003,1.5330728
Australia,AUS,2004,1.319946
Australia,AUS,2005,1.2839751
Australia,AUS,2006,1.3729398
Australia,AUS,2007,1.2241472
