Entity,Code,Year,Life_expectancy
Albania,ALB,2000,75.4043
Albania,ALB,2001,75.6388
Albania,ALB,2002,75.8899
Albania,ALB,2003,76.1421
Albania,ALB,2004,76.3761
Albania,ALB,2005,76.6208
Albania,ALB,2006,76.8162
Albania,ALB,2007,77.5491
Albania,ALB,2008,77.6529
Albania,ALB,2009,77.781
Albania,ALB,2010,77.9359
Albania,ALB,2011,78.0919
Albania,ALB,2012,78.064
Albania,ALB,2013,78.1226
Albania,ALB,2014,78.4075
Albania,ALB,2015,78.6441
Albania,ALB,2016,78.8602
Albania,ALB,2017,79.0473
Albania,ALB,2018,79.1838
Albania,ALB,2019,79.2825
Algeria,DZA,2000,70.4779
Algeria,DZA,2001,70.8233
Algeria,DZA,2002,71.2296
Algeria,DZA,2003,71.2868
Algeria,DZA,2004,71.7617
Algeria,DZA,2005,72.0612
Algeria,DZA,2006,72.3336
Algeria,DZA,2007,72.6019
Algeria,DZA,2008,72.9405
Algeria,DZA,2009,73.6196
Algeria,DZA,2010,73.8081
Algeria,DZA,2011,74.1234
Algeria,DZA,2012,74.2024
Algeria,DZA,2013,74.6153
Algeria,DZA,2014,75.11
Algeria,DZA,2015,75.622
Algeria,DZA,2016,75.7318
Algeria,DZA,2017,75.7428
Algeria,DZA,2018,76.0656
Algeria,DZA,2019,76.4742
Angola,AGO,2000,46.0236
Angola,AGO,2001,46.5905
Angola,AGO,2002,47.3865
Angola,AGO,2003,49.6173
Angola,AGO,2004,50.592
Angola,AGO,2005,51.5699
Angola,AGO,2006,52.3688
Angola,AGO,2007,53.6419
Angola,AGO,2008,54.6327
Angola,AGO,2009,55.7516
Angola,AGO,2010,56.7258
Angola,AGO,2011,57.5961
Angola,AGO,2012,58.6231
Angola,AGO,2013,59.3074
Angola,AGO,2014,60.0397
Angola,AGO,2015,60.6546
Angola,AGO,2016,61.0923
Angola,AGO,2017,61.6798
Angola,AGO,2018,62.1438
Angola,AGO,2019,62.4484
Armenia,ARM,2000,70.6236
Armenia,ARM,2001,70.932
Armenia,ARM,2002,71.0179
Armenia,ARM,2003,71.4356
Armenia,ARM,2004,71.4205
Armenia,ARM,2005,71.7922
Armenia,ARM,2006,71.9868
Armenia,ARM,2007,72.3271
Armenia,ARM,2008,72.3985
Armenia,ARM,2009,72.8125
Armenia,ARM,2010,73.1597
Armenia,ARM,2011,73.3045
Armenia,ARM,2012,73.454
Armenia,ARM,2013,73.6759
Armenia,ARM,2014,74.0577
Armenia,ARM,2015,74.4361
Armenia,ARM,2016,74.6639
Armenia,ARM,2017,74.9059
Armenia,ARM,2018,75.0645
Armenia,ARM,2019,75.4386
Australia,AUS,2000,79.6309
Australia,AUS,2001,80.0165
Australia,AUS,2002,80.0639
Australia,AUS,2003,80.4549
Australia,AUS,2004,80.7512
Australia,AUS,2005,81.1126
Australia,AUS,2006,81.2822
Australia,AUS,2007,81.2603
Australia,AUS,2008,81.4589
Australia,AUS,2009,81.7661
Australia,AUS,2010,82.055
Australia,AUS,2011,82.1336
Australia,AUS,2012,82.3456
Australia,AUS,2013,82.6041
Australia,AUS,2014,82.5677
Australia,AUS,2015,82.6552
Australia,AUS,2016,82.8707
Australia,AUS,2017,83.0006
Australia,AUS,2018,83.3871
Australia,AUS,2019,83.11
Austria,AUT,2000,78.2358
Austria,AUT,2001,78.7192
Austria,AUT,2002,78.8469
Austria,AUT,2003,78.8496
Austria,AUT,2004,79.3632
Austria,AUT,2005,79.521
Austria,AUT,2006,79.9655
Austria,AUT,2007,80.1672
Austria,AUT,2008,80.3639
Austria,AUT,2009,80.207
Austria,AUT,2010,80.4643
Austria,AUT,2011,80.8285
Austria,AUT,2012,80.841
Austria,AUT,2013,81.0783
