Year,Entity,Share below $2.15 a day,Number below $2.15 a day,palma_ratio,gini
2002,Albania,1.0926474,33337,1.2150564,0.3173898
2005,Albania,0.5910857,17800,1.1427183,0.30595654
2008,Albania,0.19992515,5892,1.1146566,0.2998467
2012,Albania,0.6206909,18003,1.0411927,0.28960484
2014,Albania,1.0231007,29558,1.3762153,0.34598896
2015,Albania,0.120621055,3475,1.2485063,0.32753733
2016,Albania,0.13930316,4006,1.3069715,0.33736297
2017,Albania,0.39256993,11280,1.2598372,0.33055663
2018,Albania,0.04810705,1379,1.0838289,0.30148283
2019,Albania,0.0,0,1.100914,0.30115768
2011,Algeria,0.45546755,166444,0.99291563,0.27615732
2000,Angola,21.408848,3509780,3.6532643,0.5195689
2008,Angola,14.632487,3174009,2.1471257,0.42715514
2018,Angola,31.122005,9732950,3.465666,0.5127211
2001,Armenia,13.9747505,437848,1.4838349,0.3536436
2002,Armenia,9.966604,309467,1.4441952,0.34779674
2003,Armenia,7.5395174,232526,1.3355553,0.33028087
2004,Armenia,5.317806,163030,1.6627996,0.37505633
2005,Armenia,2.6295705,80129,1.5489758,0.35992354
2006,Armenia,1.9985934,60487,1.1076194,0.29709986
2007,Armenia,1.5362027,46154,1.1846744,0.31226057
2008,Armenia,0.8796942,26245,1.0675352,0.2918814
2009,Armenia,1.2476557,36984,1.0019711,0.2801588
2010,Armenia,0.9514653,28033,1.1300746,0.29992583
2011,Armenia,1.1850709,34710,1.0775794,0.29352945
2012,Armenia,0.8322223,24254,1.10675,0.29602262
2013,Armenia,1.7382652,50434,1.1477672,0.30579662
2014,Armenia,1.4391431,41590,1.2195029,0.3148329
2015,Armenia,1.1463602,32999,1.286211,0.32356772
2016,Armenia,1.1079466,31752,1.2662035,0.32547948
2017,Armenia,0.7856546,22406,1.3677049,0.3362184
2018,Armenia,1.339821,38005,1.4349346,0.344335
2019,Armenia,1.0300698,29054,1.1406493,0.30031213
2001,Australia,0.7474116,144061,1.2841069,0.33464798
2003,Australia,0.9973307,196681,1.286293,0.33500516
2004,Australia,0.7125372,142028,1.2707465,0.3305741
