Entity,Code,Year,suicides_rate_100k
Albania,ALB,2000,5.23
Albania,ALB,2001,4.74
Albania,ALB,2002,4.82
Albania,ALB,2003,4.94
Albania,ALB,2004,4.86
Albania,ALB,2005,7.68
Albania,ALB,2006,7.83
Albania,ALB,2007,8.05
Albania,ALB,2008,8.09
Albania,ALB,2009,7.96
Albania,ALB,2010,7.63
Albania,ALB,2011,7.63
Albania,ALB,2012,4.82
Albania,ALB,2013,4.84
Albania,ALB,2014,4.52
Albania,ALB,2015,4.23
Albania,ALB,2016,4.17
Albania,ALB,2017,4.11
Albania,ALB,2018,3.94
Albania,ALB,2019,3.72
Algeria,DZA,2000,4.68
Algeria,DZA,2001,4.58
Algeria,DZA,2002,4.43
Algeria,DZA,2003,4.12
Algeria,DZA,2004,3.97
Algeria,DZA,2005,3.82
Algeria,DZA,2006,3.65
Algeria,DZA,2007,3.46
Algeria,DZA,2008,3.31
Algeria,DZA,2009,3.15
Algeria,DZA,2010,3.0
Algeria,DZA,2011,2.94
Algeria,DZA,2012,2.89
Algeria,DZA,2013,2.85
Algeria,DZA,2014,2.78
Algeria,DZA,2015,2.72
Algeria,DZA,2016,2.61
Algeria,DZA,2017,2.54
Algeria,DZA,2018,2.58
Algeria,DZA,2019,2.6
Angola,AGO,2000,17.5554
Angola,AGO,2001,17.4593
Angola,AGO,2002,17.2385
Angola,AGO,2003,17.4684
Angola,AGO,2004,17.1937
Angola,AGO,2005,16.2643
Angola,AGO,2006,17.0635
Angola,AGO,2007,15.023
Angola,AGO,2008,15.2736
Angola,AGO,2009,13.646
Angola,AGO,2010,14.2111
Angola,AGO,2011,13.4898
Angola,AGO,2012,14.1605
Angola,AGO,2013,14.156
Angola,AGO,2014,13.1431
Angola,AGO,2015,13.2696
Angola,AGO,2016,12.8709
Angola,AGO,2017,12.364
Angola,AGO,2018,12.3511
Angola,AGO,2019,12.5546
Armenia,ARM,2000,3.28
Armenia,ARM,2001,3.07
Armenia,ARM,2002,3.1
Armenia,ARM,2003,2.49
Armenia,ARM,2004,3.64
Armenia,ARM,2005,3.81
Armenia,ARM,2006,5.36
Armenia,ARM,2007,5.02
Armenia,ARM,2008,4.23
Armenia,ARM,2009,4.06
Armenia,ARM,2010,5.86
Armenia,ARM,2011,5.74
Armenia,ARM,2012,6.39
Armenia,ARM,2013,5.31
Armenia,ARM,2014,4.63
Armenia,ARM,2015,4.7
Armenia,ARM,2016,4.43
Armenia,ARM,2017,2.43
Armenia,ARM,2018,1.65
Armenia,ARM,2019,2.66
Australia,AUS,2000,11.8476
Australia,AUS,2001,11.1879
Australia,AUS,2002,10.3849
Australia,AUS,2003,9.61
Australia,AUS,2004,9.21
Australia,AUS,2005,10.0728
Australia,AUS,2006,9.53
Australia,AUS,2007,9.82
Australia,AUS,2008,10.4492
Australia,AUS,2009,10.0127
Australia,AUS,2010,10.4083
Australia,AUS,2011,10.0623
Australia,AUS,2012,10.4771
Australia,AUS,2013,10.244
Australia,AUS,2014,11.3146
Australia,AUS,2015,11.8127
Australia,AUS,2016,10.9183
Australia,AUS,2017,11.7932
Australia,AUS,2018,11.2611
Australia,AUS,2019,11.2523
Austria,AUT,2000,15.8195
Austria,AUT,2001,14.6853
Austria,AUT,2002,15.1121
